objectArea,channel1_MeanIntensity,channel2_MeanIntensity,channel1_MeanBackgroundIntensity,channel2_MeanBackgroundIntensity,channel1_IntegratedIntensityAboveBackground,channel2_IntegratedIntensityAboveBackground,ratio_1_over_2,xPosition,yPosition,Var11_1,FileName,Condition
237,3.4807,2.7835,0.0418,0.0486,815.0274,648.1609,1.2574,1805.0295,315.0928,,L5_032,L5
153,3.442,2.536,0.0418,0.0486,520.2314,380.5802,1.3669,1894.8693,16.3203,,L5_032,L5
354,71.0483,35.7693,0.029,0.0371,25140.8139,12649.2158,1.9875,222.4576,658.6073,,L5_033,L5
404,51.8085,28.3638,0.029,0.0371,20918.893,11443.9871,1.8279,532.0569,892.9307,,L5_033,L5
257,48.11,30.405,0.029,0.0371,12356.8022,7804.5496,1.5833,724.6615,1603.4397,,L5_033,L5
81,52.223,25.068,0.029,0.0371,4227.7094,2027.5093,2.0852,1075,363,,L5_033,L5
335,51.6038,35.9484,0.029,0.0371,17277.5388,12030.3031,1.4362,1289.2209,1926.2567,,L5_033,L5
105,44.8836,27.1506,0.029,0.0371,4709.7241,2846.9245,1.6543,1441.5524,1418.9905,,L5_033,L5
269,44.1327,27.2354,0.029,0.0371,11863.8802,7316.3543,1.6216,1560.29,1022.2119,,L5_033,L5
539,15.4205,10.0898,0.034,0.0409,8293.3504,5416.3438,1.5312,214.9147,1726.9054,,L4_034,L4
358,30.831,24.4884,0.034,0.0409,11025.3479,8752.1962,1.2597,500.1453,1556.9413,,L4_034,L4
291,20.8768,9.877,0.034,0.0409,6065.2547,2862.3006,2.119,1261.354,163.0687,,L4_034,L4
401,40.1264,19.7797,0.034,0.0409,16077.0629,7915.2414,2.0312,1712.9501,507.5237,,L4_034,L4
193,5.6328,3.5528,0.037,0.0415,1079.9953,677.6684,1.5937,322,690,,L4_035,L4
279,7.5138,4.0095,0.037,0.0415,2086.0469,1107.0638,1.8843,1063.6344,447.5735,,L4_035,L4
422,15.3357,8.905,0.037,0.0415,6456.0754,3740.38,1.726,1119.6777,1085.3507,,L4_035,L4
283,8.8298,4.8464,0.037,0.0415,2488.3712,1359.7684,1.83,1212.6784,957.5194,,L4_035,L4
510,10.9278,6.9754,0.037,0.0415,5554.2992,3536.2525,1.5707,1404.7333,1687.8157,,L4_035,L4
453,30.4278,19.9755,0.0262,0.0339,13771.9313,9033.5429,1.5245,222.6998,1687.713,,L4_036,L4
348,41.3805,21.0567,0.0262,0.0339,14391.3029,7315.9188,1.9671,531.0948,205.2672,,L4_036,L4
381,79.7546,40.7181,0.0262,0.0339,30376.5141,15500.659,1.9597,904.7874,717.3123,,L4_036,L4
239,37.739,17.1242,0.0262,0.0339,9013.3731,4084.584,2.2067,1577.4937,352.0418,,L4_036,L4
276,49.0491,32.7696,0.0262,0.0339,13530.317,9035.0397,1.4975,1815.1486,1127.8225,,L4_036,L4
588,55.9735,29.2719,0.0333,0.0373,32892.8334,17189.9351,1.9135,1088.3741,520.5663,,L4_037,L4
186,22.4823,10.5972,0.0333,0.0373,4175.5157,1964.1365,2.1259,1363.543,170.5645,,L4_037,L4
116,22.7939,10.4227,0.0333,0.0373,2640.2285,1204.7034,2.1916,1370.5,154.5,,L4_037,L4
325,25.9685,16.0954,0.0333,0.0373,8428.9343,5218.8754,1.6151,1404.9354,1183.8277,,L4_037,L4
249,24.8493,12.7184,0.0333,0.0373,6179.182,3157.5759,1.9569,1658.3012,628.1124,,L4_037,L4
345,4.2096,3.74,0.0572,0.0614,1432.5777,1269.1101,1.1288,238.5681,799.2232,,L4_039,L4
245,3.3354,3.173,0.0572,0.0614,803.156,762.3437,1.0535,957.3959,1600.8898,,L4_039,L4
267,3.3876,3.3274,0.0572,0.0614,889.2125,872.0299,1.0197,964.2172,1625.1273,,L4_039,L4
280,3.654,3.6792,0.0572,0.0614,1007.092,1012.9852,0.9942,1203.8964,1196.2321,,L4_039,L4
170,3.6696,2.9838,0.0572,0.0614,614.0967,496.8091,1.2361,1590.5,859.5,,L4_039,L4
266,4.0242,3.4704,0.0572,0.0614,1055.1981,906.7967,1.1637,1616.3158,1081.7782,,L4_039,L4
235,24.5593,15.6135,0.0301,0.0342,5764.3646,3661.142,1.5745,371.4809,695.0213,,L4_040,L4
350,38.8989,29.2415,0.0301,0.0342,13604.075,10222.5794,1.3308,664.0914,1608.58,,L4_040,L4
257,20.1885,16.7911,0.0301,0.0342,5180.7109,4306.5296,1.203,1427.0584,1316.7393,,L4_040,L4
307,40.1313,26.4046,0.0301,0.0342,12311.0555,8095.7227,1.5207,1521.1368,1325.1238,,L4_040,L4
407,34.8081,24.4069,0.0301,0.0342,14154.6346,9919.7088,1.4269,1662.4128,1628.1744,,L4_040,L4
218,24.6629,12.7369,0.0315,0.0383,5369.645,2768.2797,1.9397,42.4771,878.3073,,L4_041,L4
245,26.1918,19.3179,0.0315,0.0383,6409.271,4723.5035,1.3569,466.9673,1323.5143,,L4_041,L4
106,19.441,11.0298,0.0315,0.0383,2057.3994,1165.0955,1.7659,1056,1227.1698,,L4_041,L4
372,42.0501,24.2532,0.0315,0.0383,15630.9114,9007.9496,1.7352,1123.0323,1434.4758,,L4_041,L4
608,47.7092,30.515,0.0315,0.0383,28988.0341,18529.8488,1.5644,1537.3355,1633.2056,,L4_041,L4
154,0.9943,0.9457,0.0397,0.0422,147.0025,139.1408,1.0565,446,412.039,,L2-2_051,L2-2
423,1.5591,1.5585,0.0397,0.0422,642.7184,641.3999,1.0021,731.5768,240.9409,,L2-2_051,L2-2
249,1.1289,1.0627,0.0397,0.0422,271.2039,254.0963,1.0673,1246.9076,146.6265,,L2-2_051,L2-2
569,1.5279,2.1448,0.0397,0.0422,846.7959,1196.3356,0.7078,1745.8822,1154.9842,,L2-2_051,L2-2
390,1.7238,2.3461,0.0432,0.0486,655.4434,896.0263,0.7315,398.9564,1194.8436,,L2-2_052,L2-2
169,0.5985,0.8299,0.0432,0.0486,93.8471,132.0347,0.7108,864.4734,738.4556,,L2-2_052,L2-2
149,0.6647,0.761,0.0432,0.0486,92.6004,106.1388,0.8724,1227.7383,774.3356,,L2-2_052,L2-2
